CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Recommended_Action
CUST_12394,64,27.0,1272.48,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12395,19,156.0,3018.63,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12397,36,126.0,2409.9,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12398,46,85.0,1635.6599999999999,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12399,119,59.0,1108.65,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12401,303,5.0,84.3,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12402,323,11.0,225.6,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12403,50,5.0,427.7,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12405,149,54.0,1710.39,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12406,22,105.0,3415.3,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12407,50,77.0,1708.1200000000001,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12408,33,105.0,2888.55,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12409,79,109.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12410,309,26.0,693.3299999999999,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12412,75,61.0,1226.88,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12413,67,38.0,758.1,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12414,217,18.0,562.41,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12415,24,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12417,3,192.0,3649.1,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12418,113,34.0,668.58,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12420,64,29.0,600.39,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12421,16,45.0,807.04,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12422,96,39.0,803.5600000000001,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12423,1,125.0,1859.31,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12424,163,30.0,1760.96,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12425,78,36.0,777.2,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12426,195,30.0,582.73,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12427,22,31.0,825.8,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12428,26,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12429,9,97.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12430,43,11.0,256.4,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12431,36,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12432,43,108.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12433,1,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12434,85,50.0,806.14,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12435,80,36.0,3691.7699999999995,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12436,100,16.0,509.01,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12437,2,199.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12438,14,98.0,2906.85,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12441,328,11.0,173.55,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12442,3,12.0,172.06,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12444,21,176.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12445,22,4.0,133.4,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12446,58,57.0,1002.3100000000001,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12447,243,26.0,476.49,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12448,44,22.0,449.45,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12449,22,191.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12450,156,8.0,197.88,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12451,11,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12452,17,22.0,430.57,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12453,134,43.0,707.09,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12454,56,15.0,3528.34,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12455,73,90.0,2466.86,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12456,44,125.0,3181.04,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12457,66,62.0,2363.23,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12458,71,38.0,947.4,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12461,94,35.0,826.88,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12462,19,62.0,1189.59,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12463,53,83.0,1344.78,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12464,10,29.0,1212.05,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12465,17,47.0,742.1899999999999,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12468,188,38.0,729.5400000000001,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12471,2,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12472,32,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12473,29,167.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12474,17,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12475,54,36.0,723.38,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12476,16,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12477,23,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12478,4,36.0,680.99,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12479,11,31.0,527.2,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12480,28,154.0,3281.63,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12481,23,216.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12483,17,75.0,2484.98,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12484,33,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12488,10,55.0,1298.66,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12489,328,15.0,334.93,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12490,5,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12491,39,26.0,460.40000000000003,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12492,63,20.0,263.21000000000004,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12493,166,22.0,433.74,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12494,16,77.0,1246.1000000000001,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12497,82,14.0,1043.1,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12498,21,23.0,403.70000000000005,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12500,23,61.0,3691.7699999999995,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12501,328,149.0,2169.39,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12502,96,147.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12504,18,9.0,482.04999999999995,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12506,233,23.0,73.5,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12507,134,21.0,1304.81,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12508,26,68.0,397.88,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12509,284,7.0,176.5,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12510,143,33.0,982.5699999999999,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12512,66,31.0,132.18,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12513,113,35.0,612.29,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12514,267,51.0,1017.68,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12515,328,16.0,383.7,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12516,78,26.0,1312.06,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12517,28,219.5,2481.6,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12518,1,124.0,2056.89,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12519,64,17.0,330.84,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12520,79,152.0,2634.26,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12521,143,38.0,599.68,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12522,39,12.0,192.72,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12523,19,106.0,1789.77,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12524,9,144.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12526,1,71.0,1316.66,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12527,82,18.0,348.71000000000004,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12528,9,92.0,1933.48,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12530,60,66.0,1662.28,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12531,15,17.0,125.22,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12532,30,16.0,349.83000000000004,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12534,131,63.0,1089.18,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12535,92,34.0,716.35,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12536,43,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12538,29,21.0,363.95,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12539,22,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12540,20,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12541,30,52.0,981.18,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12544,36,19.0,372.7,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12545,75,50.0,1000.39,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12546,47,69.0,1161.5,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12547,198,8.0,207.79999999999998,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12548,166,5.0,95.19999999999999,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12550,79,57.0,964.83,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12551,328,10.0,168.0,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12552,39,20.0,437.82,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12553,8,191.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12556,50,119.0,599.56,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12557,16,33.0,3691.7699999999995,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12558,8,11.0,269.96,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12559,311,21.0,561.71,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12560,5,105.0,2134.01,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12561,303,16.0,238.85,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12562,8,168.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12564,261,21.0,456.9,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12565,289,9.0,145.92,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12566,86,19.0,351.65,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12567,23,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12569,2,188.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12571,40,34.0,519.61,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12572,9,60.0,1020.42,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12573,227,28.0,160.54000000000002,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12574,316,11.0,218.45,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12576,36,88.0,1315.83,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12577,35,146.0,626.6,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12578,21,114.0,2794.51,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12579,78,29.0,440.42,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12580,247,24.0,415.7,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12581,40,15.0,197.71,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12582,239,22.0,511.36,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12583,3,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12584,4,96.0,2338.15,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12585,234,87.0,2040.1,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12586,17,11.0,196.94000000000003,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12587,8,4.0,144.0,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12588,39,10.0,214.89999999999998,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12589,29,35.0,646.68,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12590,211,68.0,3691.7699999999995,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12591,317,26.0,452.84999999999997,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12592,92,18.0,437.6,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12593,109,21.0,418.09999999999997,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12594,38,118.0,3338.2200000000003,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12596,51,27.0,618.27,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12597,19,206.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12598,10,132.0,3023.08,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12599,29,62.0,1032.58,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12600,29,64.0,2599.04,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12601,190,28.0,577.0600000000001,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12602,59,12.0,153.12,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12603,22,2.0,739.1999999999999,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12604,79,16.0,254.18,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12607,60,101.0,1579.51,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12609,78,60.0,1126.85,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12610,23,106.0,2099.54,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12611,52,65.0,1193.32,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12612,74,19.0,704.0400000000001,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12613,57,153.0,3344.38,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12614,278,20.0,315.6,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12615,2,105.0,2291.19,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12616,95,32.0,713.3,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12617,29,41.0,352.98,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12618,22,11.0,177.31,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12619,16,90.0,3641.24,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12620,15,92.0,1339.41,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12621,2,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12622,232,11.0,180.1,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12623,276,18.0,305.1,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12624,106,38.0,641.13,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12625,212,86.0,2683.82,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12626,23,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12627,11,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12628,4,41.0,786.46,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12630,10,64.0,1270.88,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12631,57,31.0,640.5,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12633,59,101.0,2163.98,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12635,90,101.0,1689.18,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12637,67,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12638,33,39.0,671.69,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12639,239,22.0,486.1,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12640,24,53.0,1174.58,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12641,115,10.0,185.9,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12642,25,47.0,1013.26,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12643,128,24.0,3344.64,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12644,130,31.0,477.91,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12645,34,73.0,1775.18,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12646,5,45.0,1346.97,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12647,22,121.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12648,155,21.0,318.05,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12649,107,31.0,623.51,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12650,3,20.0,314.44,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12651,328,9.0,114.0,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12652,328,48.0,919.98,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12653,149,43.0,2209.85,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12654,11,38.0,601.98,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12656,17,126.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12657,11,47.0,1643.18,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12658,19,36.0,686.05,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12659,30,5.0,91.68,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12660,11,13.0,245.1,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12662,1,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12664,8,37.0,3691.7699999999995,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12665,325,3.0,63.0,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12667,58,33.0,620.13,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12668,12,161.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12669,151,101.0,2744.0299999999997,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12670,10,92.0,2996.05,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12672,328,10.0,225.89999999999998,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12673,5,42.0,610.52,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12674,39,83.0,1970.6,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12676,25,45.0,1331.39,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12678,42,165.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12679,59,48.0,1113.02,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12680,1,52.0,862.81,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12681,15,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12682,4,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12683,4,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12684,8,105.0,2283.63,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12685,28,157.0,2863.08,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12686,328,7.0,89.14,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12688,114,170.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12689,26,72.0,1247.61,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12690,206,16.0,389.01,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12691,28,32.0,1035.8,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12693,127,39.0,855.91,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12694,70,37.0,869.67,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12695,7,27.0,582.1,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12697,29,41.0,957.59,0,Potential / Regular Customers,Send personalized offers to increase frequency.
